Eliza Farnham,Body,"Our own theological Church, as we know, has scorned and vilified the body till it has seemed almost a reproach and a shame to have one, yet at the same time has credited it with power to drag the soul to perdition."
Publilius Syrus,Body,Pain of mind is worse than pain of body.
Billy Idol,Body,Part of the punk attitude was that you should project your music through your whole body... show your personality as much as possible.
Antoine de Saint-Exupéry,Body,"Perfection is finally attained not when there is no longer anything to add but when there is no longer anything to take away, when a body has been stripped down to its nakedness."
John F. Kennedy,Body,Physical fitness is not only one of the most important keys to a healthy body; it is the basis of dynamic and creative intellectual activity.
Caroline Lawrence,Body,"Plot is what happens in your story. Every story needs structure, just as every body needs a skeleton. It is how you 'flesh out and clothe' your structure that makes each story unique."
Andrea Dworkin,Body,"Poetry, the genre of purest beauty, was born of a truncated woman: her head severed from her body with a sword, a symbolic penis."
Albert Einstein,Body,"Possessions, outward success, publicity, luxury - to me these have always been contemptible. I assume that a simple and unassuming manner of life is best for everyone, best for both the body and the mind"
John Quinton,Body,Premature development of the powers of both mind and body leads to an early grave.
B.W. Richardson,Body,"Preserve and treat food as you would your body, remembering that in time food will be your body."
Sir Richard Steele,Body,Reading is to the mind what exercise is to the body. It is wholesome and bracing for the mind to have its faculties kept on the stretch.
Joyce Cary,Body,Religion is organized to satisfy and guide the soul - politics does the same thing for the body.
Oscar Wilde,Body,Self-denial is the shining sore on the leprous body of Christianity.
Norman Douglas,Body,Shall I give you my recipe for happiness? I find everything useful and nothing indispensable. I find everything wonderful and nothing miraculous. I reverence the body. I avoid first causes like the plague.
Anne Edwards,Body,"She claimed she loved the camera, its warmth, its familiarity. She responded to its naked glare, its slavish attention to every expression of her face and body, with the kind of immediacy a trusted lover could expect."
Calista Flockhart,Body,"Sometimes when you play a character, you can feel it in your body. And I felt like I had characteristics of my dog: the way Webster moves, the way he holds his head. I kind of adapted it into this part unconsciously."
Brunello Cucinelli,Body,"St. Benedict said to take care of your mind, body and soul. I swim for an hour every morning, do 15 minutes of Tibetan stretching and breathing exercises, and play soccer with friends four or more nights a week."
Zoroaster,Body,"Suffer no anxiety, for he who is a sufferer of anxiety becomes regardless of enjoyment of the world and the spirit, and contraction happens to his body and soul."
Oliver Wendell Holmes,Body,"Take a music bath once or twice a week for a few seasons, and you will find that it is to the soul what the water-bath is to the body."
Jim Rohn,Body,"Take care of your body. It's the only place you have to live.,
"
Bill Watterson,Body,Talking with you is sort of the conversational equivalent of an out of body experience.
Mary Wollstonecraft,Body,"Taught from infancy that beauty is woman's scepter, the mind shapes itself to the body, and roaming round its gilt cage, only seeks to adorn its prison."
Bruce Jackson,Body,"Television broadcasts have, in the main, been more suggestive, less specific, more distant in their images than the print press: often you knew that lump was a dead body only because a chattering reporter told you it was."
Beth Ditto,Body,"Thanks to capitalism, the importance placed on beauty has never been so manipulated. We are the guinea pigs force-fed ads that tell us how pathetic we are: that we will never be loved, happy or valuable unless we have the body, the face, the hair, even the personality that will apparently be ours, if only we buy their products."
Caitlin Stasey,Body,"The 'ideal' body is everywhere you look, and we are made to feel like failures by advertisers and corporations who shame us into buying their products."
Iris Murdoch,Body,The absolute yearning of one human body for another particular body and its indifference to substitutes is one of life's major mysteries.
George Sand,Body,The beauty that addresses itself to the eyes is only the spell of the moment; the eye of the body is not always that of the soul.
Goodman Ace,Body,The best cure for hypochondria is to forget about your own body and get interested in someone else s.
Napoleon,Body,The best cure for the body is a quiet mind.
Caitlin Doughty,Body,"The biggest problem is the funerals that don't exist. People call the funeral home, they pick up the body, they mail the ashes to you, no grief, no happiness, no remembrance, no nothing. That happens more often than it doesn't in the United States."
George Santayana,Body,"The body is an instrument, the mind its function, the witness and reward of its operation."
Marilyn Monroe,Body,"The body is meant to be seen, not all covered up.,
"
Bhagavad Gita,Body,"The body is mortal, but the person dwelling in the body is immortal and immeasurable."
Toni Morrison,Body,"The body is ready to have babies. Nature wants it done then, when the body can handle it, not after 40, when the income can handle it.,
"
Christian Nevell Bovee,Body,The body of a sensualist is the coffin of a dead soul.
Jean-Jacques Rousseau,Body,"The body politic, as well as the human body, begins to die as soon as it is born, and carries itself the causes of its destruction."
Anita Roddick,Body,The Body Shop Foundation is run by our staff and supports social activism and environmental activism. We don't tend to support big agencies.
Oscar Wilde,Body,"The body sins once, and has done with its sin, for action is a mode of purification. Nothing remains then but the recollection of a pleasure, or the luxury of a regret."
Arthur Schopenhauer,Body,"The brain may be regarded as a kind of parasite of the organism, a pensioner, as it were, who dwells with the body."
Thomas Alva Edison,Body,The chief function of the body is to carry the brain around.
A. E. Housman,Body,"The difference between an icicle and a red-hot poker is really much slighter than the difference between truth and falsehood or sense and nonsense; yet it is much more immediately noticeable and much more universally noticed, because the body is more sensitive than the mind."
John Fischer,Body,"The essence of our effort to see that every child has a chance must be to assure each an equal opportunity, not to become equal, but to become different- to realize whatever unique potential of body, mind and spirit he or she possesses."
Henry David Thoreau,Body,The eye is the jewel of the body.
Marcus Tullius Cicero,Body,The eyes like sentinel occupy the highest place in the body.
Camille Paglia,Body,"The female body is a chthonian machine, indifferent to the spirit who inhabits it."
Boris Pasternak,Body,"The great majority of us are required to live a life of constant duplicity. Your health is bound to be affected if, day after day, you say the opposite of what you feel, if you grovel before what you dislike, and rejoice at what brings you nothing but misfortune. Our nervous system isn't just a fiction, it's a part of our physical body, and our soul exists in space, and is inside us, like the teeth in our mouth. It can't be forever violated with impunity."
Doris Lessing,Body,"The great secret that all old people share is that you really haven't changed in seventy or eighty years. Your body changes, but you don't change at all. And that, of course, causes great confusion.,
"
Tony Robbins,Body,"The higher your energy level, the more efficient your body The more efficient your body, the better you feel and the more you will use your talent to produce outstanding results.,
"
Emma Goldman,Body,"The history of progress is written in the blood of men and women who have dared to espouse an unpopular cause, as, for instance, the black man's right to his body, or woman's right to her soul."
Roger Von Oech,Body,The human body has two ends on it: one to create with and one to sit on. Sometimes people get their ends reversed. When this happens they need a kick in the seat of the pants.
Norman O. Brown,Body,"The human body is not a thing or substance, given, but a continuous creation. The human body is an energy system which is never a complete structure; never static; is in perpetual inner self-construction and self-destruction; we destroy in order to make it new."
Sir Peter Medawar,Body,The human mind treats a new idea the way the body treats a strange protein; it rejects it.
Bernie Siegel,Body,"The mind and body are not separate units, but one integrated system. How we act and what we think, eat, and feel are all related to our health. Physicians should be capable of teaching this behavior to patients."
Benjamin Robbins Curtis,Body,The mind as well as the body must be not only strong but well disciplined in order to act with promptness and vigor in new and untried situations. It is hard to turn men's minds from the old and deeply worn channels in which they have long been flowing.
David Herbert Lawrence,Body,"The mind can assert anything and pretend it has proved it. My beliefs I test on my body, on my intuitional consciousness, and when I get a response there, then I accept."
Ben Carson,Body,The mind controls so much of the body. We are much more than flesh and blood; we are complex systems. Patients do better when they have faith that they're going to do better. That's why I always tell my patients and their families not to neglect their prayers. There's nobody I don't say that to.
Anita Roddick,Body,"The money that we make from the company goes into The Body Shop Foundation, which isn't one of those awful tax shelters like some in America. It just functions to take the money and give it away."
Fran Lebowitz,Body,"The most common error made in matters of appearance is the belief that one should disdain the superficial and let the true beauty of one's soul shine through. If there are places on your body where this is a possibility, you are not attractive - you are leaking."
Ben E. King,Body,"The movie is actually from a book by Stephen King called The Body. When they were gonna put it to a motion picture, they found the story was a bit too strong for the title The Body, based on a young kid's movie. It would be too heavy."
Ambrose Bierce,Body,The ocean is a body of water occupying about two-thirds of a world made for man - who has no gills.
Publilius Syrus,Body,The pain of the mind is worse than the pain of the body.
C. L. R. James,Body,The Paris Commune was first and foremost a democracy. The government was a body elected by universal suffrage.
Andrew Jackson,Body,"The planter, the farmer, the mechanic, and the laborer... form the great body of the people of the United States, they are the bone and sinew of the country men who love liberty and desire nothing but equal rights and equal laws."
Virginia Woolf,Body,"The poet gives us his essence, but prose takes the mold of the body and mind."
Francis Bacon,Body,"The poets did well to conjoin music and medicine, because the office of medicine is but to tune the curious harp of man's body."
Caity Lotz,Body,"The power of the human spirit inspires me. Movies, books, stories, people, anything that reminds us that we are more than just this physical body and our capacity for love and courage can bend reality."
John Adams,Body,"The proposition that the people are the best keepers of their own liberties is not true. They are the worst conceivable, they are no keepers at all; they can neither judge, act, think, or will, as a political body."
Isadora Duncan,Body,"The real American type can never be a ballet dancer. The legs are too long, the body too supple and the spirit too free for this school of affected grace and toe walking."
Gaston Bachelard,Body,The repose of sleep refreshes only the body. It rarely sets the soul at rest. The repose of the night does not belong to us. It is not the possession of our being. Sleep opens within us an inn for phantoms. In the morning we must sweep out the shadows.
Camille Paglia,Body,"The saints, many of them women, warred with themselves as well as God. The body has its own animal urges, just as there are attractions and repulsions in sex that modern liberalism cannot face."
Buddha,Body,"The secret of health for both mind and body is not to mourn for the past, not to worry about the future, or not to anticipate troubles, but to live in the present moment wisely and earnestly."
Ambrose Bierce,Body,The Senate is a body of old men charged with high duties and misdemeanors.
Josiah Gilbert Holland,Body,"The soul, like the body, lives by what it feeds on."
George Bernard Shaw,Body,The sound body is the product of the sound mind.
Aravind Adiga,Body,"The story of a poor man's life is written on his body, in a sharp pen."
Bob Wells,Body,"The tendency of old age to the body, say the physiologists, is to form bone. It is as rare as it is pleasant to meet with an old man whose opinions are not ossified."
Buddha,Body,"The thought manifests as the word; The word manifests as the deed; The deed develops into habit; And habit hardens into character; So watch the thought and its ways with care, And let it spring from love Born out of concern for all beingsÂ… As the shadow follows the body, As we think, so we become."
Alice Meynell,Body,"The true color of life is the color of the body, the color of the covered red, the implicit and not explicit red of the living heart and the pulses. It is the modest color of the unpublished blood."
Albert Pike,Body,"The universal medicine for the Soul is the Supreme Reason and Absolute Justice; for the mind, mathematical and practical Truth; for the body, the Quintessence, a combination of light and gold."
Sir Humphrey Davy,Body,"The wealth and prosperity of the country are only the comeliness of the body, the fullness of the flesh and fat; but the spirit is independent of them; it requires only muscle, bone and nerve for the true exercise of its functions. We cannot lose our liberty, because we cannot cease to think."
Ben Zobrist,Body,There are different angles you have to work with as a hitter. Figuring out with my body what helps me get into those angles... is a constant discovery.
Victor Hugo,Body,"There are thoughts which are prayers. There are moments when, whatever the posture of the body, the soul is on its knees."
Oscar Wilde,Body,There are three kinds of despots. There is the despot who tyrannizes over the body. There is the despot who tyrannizes over the soul. There is the despot who tyrannizes over the soul and body alike. The first is called the Prince. The second is called the Pope. The third is called the People.
Ben Zobrist,Body,"There are times when your mind isn't ready to go but your body is, and times when your body is ready to go but your mind isn't. You try to get the two in sync as much as possible."
Bhagavad Gita,Body,"There has never been a time when you and I have not existed, nor will there be a time when we will cease to exist. As the same person inhabits the body through childhood, youth, and old age, so too at the time of death he attains another body. The wise are not deluded by these changes."
Alfred Einstein,Body,"There is a strange kind of human being in whom there is an eternal struggle between body and soul, animal and god, for dominance. In all great men this mixture is striking, and in none more so than in Wolfgang Amadeus Mozart."
William Hazlitt,Body,"There is an unseemly exposure of the mind, as well as of the body."
Friedrich Nietzsche,Body,There is more wisdom in your body than in your deepest philosophy.
Sir Arthur Conan Doyle,Body,There is no part of the body which varies so much as the human ear.
Barbara Howar,Body,There is nothing better for the spirit or the body than a love affair. It elevates the thoughts and flattens the stomachs.
Mahatma Gandhi,Body,"There is nothing that wastes the body like worry, and one who has any faith in God should be ashamed to worry about anything whatsoever."
Douglas William Jerrold,Body,There is peace more destructive of the manhood of living man than war is destructive of his material body.
Louis-Ferdinand Celine,Body,There's a point of poverty at which the spirit isn't with the body all the time. It finds the body really too unbearable. So it's almost as if you were talking to the soul itself. And a soul's not properly responsible.
Bjork,Body,"There's something about the rhythm of walking, how, after about an hour and a half, the mind and body can't help getting in sync."
Siddha Nagarjuna,Body,"This body, full of faults, has yet one great quality: Whatever it encounters in this temporal life depends upon one's actions."
Akhenaton,Body,"Those who gave thee a body, furnished it with weakness; but He who gave thee Soul, armed thee with resolution. Employ it, and thou art wise; be wise and thou art happy."
Benjamin Stillingfleet,Body,Tis good nature only wins the heart It moulds the body to an easy grace And brightens every feature of the face; It smoothes th' unpolish'd tongue with eloquence And adds persuasion to the finest sense.
John Donne,Body,"To be no part of any body, is to be nothing."
Bette Davis,Body,"To fulfill a dream, to be allowed to sweat over lonely labor, to be given the chance to create, is the meat and potatoes of life. The money is the gravy. As everyone else, I love to dunk my crust in it. But alone, it is not a diet designed to keep body and soul together."
Buddha,Body,To keep the body in good health is a duty... otherwise we shall not be able to keep our mind strong and clear.
Jean-Luc Godard,Body,"To me style is just the outside of content, and content the inside of style, like the outside and the inside of the human body - both go together, they can't be separated."
Karl von Bonstetten,Body,"To resist the frigidity of old age one must combine the body, the mind and the heart - and to keep them in parallel vigor one must exercise, study and love."
Arnold Schwarzenegger,Body,Training gives us an outlet for suppressed energies created by stress and thus tone the spirit just as exercise conditions the body.
Karl Wilhelm Von Humboldt,Body,True enjoyment comes from activity of the mind and exercise of the body; the two are ever united.
William Penn,Body,"True silence is the rest of the mind; it is to the spirit what sleep is to the body, nourishment and refreshment."
Judith Guest,Body,"Two separate, distinct personalities, not separate at all, but inextricably bound, soul and body and mind, to each other, how did we get so far apart so fast?"
Andrea Dworkin,Body,"Undernourished, intelligence becomes like the bloated belly of a starving child: swollen, filled with nothing the body can use."
George Gilder,Body,"Unlike femininity, relaxed masculinity is at bottom empty, a limp nullity. While the female body is full of internal potentiality, the male is internally barren. Manhood at the most basic level can be validated and expressed only in action."
Caitlin Doughty,Body,"Vaults and caskets are not the law; they are the policy of individual cemeteries. Vaults prevent the settling of the dirt around the body, thus making landscaping more uniform and cost effective. As an added bonus, vaults can be customized and sold at a markup. Faux marble? Bronze? Take your pick, family."
Socrates,Body,"Wars and revolutions and battles are due simply and solely to the body and its desires. All wars are undertaken for the acquisition of wealth; and the reason why we have to acquire wealth is the body, because we are slaves in its service."
Carol P. Christ,Body,Watching birds has become part of my daily meditation affirming my connection to the earth body.
Peace Pilgrim,Body,We are all cells in the same body of humanity.
Peace Pilgrim,Body,We are that which activates the body.
Bill Shorten,Body,We commissioned an independent statutory economic body - the Productivity Commission - to review the possibility of funding a disability scheme. The commission returned with a view that it could. Then it becomes an issue of national will.
Sallust,Body,"We employ the mind to rule, the body to serve."
Ralph Waldo Emerson,Body,We find delight in the beauty and happiness of children that makes the heart too big for the body.
Albert Camus,Body,"We get into the habit of living before acquiring the habit of thinking. In that race which daily hastens us towards death, the body maintains its irreparable lead."
Logan Pearsall Smith,Body,"We grow with years more fragile in body, but morally stutter, and can throw off the chill of a bad conscience almost at once."
George Bernard Shaw,Body,"We know now that the soul is the body, and the body the soul. They tell us they are different because they want to persuade us that we can keep our souls if we let them make slaves of our bodies."
Aristotle,Body,We must no more ask whether the soul and body are one than ask whether the wax and the figure impressed on it are one.
Arnold Palmer,Body,What do I mean by concentration? I mean focusing totally on the business at hand and commanding your body to do exactly what you want it to do.
Samuel Taylor Coleridge,Body,"What is a epigram? A dwarfish whole. Its body brevity, and wit its soul."
Samuel Taylor Coleridge,Body,"What is an Epigram? A dwarfish whole its body brevity, and wit its soul. "
Caroline Knapp,Body,"What is this drive to be thinner, prettier, better dressed, other? Who exactly is this other and what does she look like beyond the jacket she's wearing or the food she's not eating? What might we be doing, thinking, feeling about if we didn't think about body image, ever?"
Antoine de Saint-Exupéry,Body,"What was my body to me? A kind of flunkey in my service. Let but my anger wax hot, my love grow exalted, my hatred collect in me, and that boasted solidarity between me and my body was gone."
Bruce Lee,Body,What we are after is the ROOT and not the branches. The root is the real knowledge; the branches are surface knowledge. Real knowledge breeds body feel and personal expression; surface knowledge breeds mechanical conditioning and imposing limitation and squelches creativity.
Simone Weil,Body,"When a man's life is destroyed or damaged by some wound or privation of soul or body, which is due to other men's actions or negligence, it is not only his sensibility that suffers but also his aspiration toward the good. Therefore there has been sacrilege towards that which is sacred in him."
C. Northcote Parkinson,Body,"When any organizational entity expands beyond 21 members, the real power will be in some smaller body."
Ban Ki-moon,Body,"When food prices surge, poor families suddenly find themselves unable to afford enough nutritious food. If this happens during the first thousand days of a child's life, the damage to his or her body and mind can be permanent."
Asne Seierstad,Body,"When I decided to stay in Iraq, I decided to take the fear out of my body and put it into a freezer."
Bernie Siegel,Body,"When my body gets to the point where I can no longer function or feel gratitude, then I'll leave it and become grateful again. But until then, I will appreciate what I have and not whine about what I don't have. I will feel blessed by life and the opportunity to help others see that they are blessed, too."
Saadi,Body,"When the belly is empty, the body becomes spirit; and when it is full, the spirit becomes body."
Antoine de Saint-Exupéry,Body,"When the body sinks into death, the essence of man is revealed. Man is a knot, a web, a mesh into which relationships are tied. Only those relationships matter. The body is an old crock that nobody will miss. I have never known a man to think of himself when dying. Never."
Criss Angel,Body,"When the mind, body, and spirit work together, I believe anything is possible.,
"
Butch Trucks,Body,"When we're playing, when we're really, really going... you're just in the moment. You're not thinking about yesterday, tomorrow, or anything else. The brain gets out of the way. Your body just does what it knows how to do, and it's just... it's like a religion."
Bill Viola,Body,"When you come into my pieces, it's not an intellectual experience, it's a physical experience. It's coming at your body. There's light, there's sound, the lights in some pieces are going on and off. There's loud roaring sound happening."
Ace Frehley,Body,"When you take a shower in space, you have to press the water onto your body to clean yourself, and then you gotta vacuum it off."
Britney Spears,Body,"When you tour, it's so hard on the body. Being in one place is cool. It's a more stable environment."
Bodhidharma,Body,"Whoever realizes that the six senses aren't real, that the five aggregates are fictions, that no such things can be located anywhere in the body, understands the language of Buddhas."
Sigmund Freud,Body,"Woe to you, my Princess, when I come... you shall see who is the stronger, a gentle little girl who doesn't eat enough or a big wild man who has cocaine in his body."
Carol P. Christ,Body,Women must be the spokesmen for a new humanity arising out of the reconciliation of spirit and body.
Mark Twain,Body,"Work consists of whatever a body is obliged to do, and play consists of whatever a body is not obliged to do."
Martin Luther King,Body,"Yes, I see the Church as the body of Christ. But, oh! How we have blemished and scarred that body through social neglect and through fear of being nonconformists."
Alexander Pope,Body,"You beat your Pate, and fancy Wit will come: Knock as you please, there's no body at home."
Mahatma Gandhi,Body,"You can chain me, you can torture me, you can even destroy this body, but you will never imprison my mind.,
,
"
Deepak Chopra,Body,You can free yourself from aging by reinterpreting your body and by grasping the link between belief and biology.
Burt Shavitz,Body,You can only punish your body so long before you're stuck with a horrendous inability to do things you'd previously been able to do.
Bode Miller,Body,You feel the Olympics and you get chills and nervous and a little scared. You go through the emotional roller coaster at what it's like to compete at the Olympic level and you let that run through your whole body.
Kareem Abdul-Jabbar,Body,"You have to be able to center yourself, to let all of your emotions go... Don't ever forget that you play with your soul as well as your body."
Bob Guccione,Body,You have to penetrate a woman's defenses. Getting into her head is a prerequisite to getting into her body.
A. J. Langer,Body,You have to trust your body to take care of you.
Arthur Scargill,Body,You may see the emergence of a new political party from the body of the trade union movement which represents a very clear-cut socialist alternative policy and which gives expression to the views of the trade union movement in parliament.
Phil McGraw,Body,"You need to listen to your body because your body is listening to you.,
"
Thomas Traherne,Body,You never know yourself till you know more than your body.
Cary-Hiroyuki Tagawa,Body,You release more toxins from the body through a deep exhale than you do from anything else.
Janice Galloway,Body,You would think there's a natural limit to tears: only so much the body can give at one sitting before it runs dry.
Harry J. Johnson,Body,"Your body is an amazing creation, capable of performing great wonders, but you can destroy that miraculous machine's potential with an overdose of stress."
Brenda Song,Body,"Your body is like a machine, and if you don't keep it in shape, it holds you back. You don't want anything holding you back, especially yourself."
Marquis de Sade,Body,Your body is the church where Nature asks to be reverenced.
Bernie Siegel,Body,"Your body loves you, but if you do not love your life, it will end it far sooner, thinking it is doing you a favor."
Dag Hammarskjöld,Body,"Your body must become familiar with its death - in all its possible forms and degrees - as a self-evident, imminent, and emotionally neutral step on the way towards the goal you have found worthy of your life."
Juvenal,Body,Your prayer must be for a sound mind in a sound body.
William Shakespeare,Body,'Tis the mind that makes the body rich.
Raymond Holliwell,Body,"God does not require you to follow His leadings on blind trust. Behold the evidence of an invisible intelligence pervading everything, even your own mind and body."
author,tags,title
Lewis Mumford,Boredom,"By his very success in inventing labor-saving devices, modern man has manufactured an abyss of boredom that only the privileged classes in earlier civilizations have ever fathomed."
Friedrich Nietzsche,Boredom,Against boredom the gods themselves fight in vain.
Al Boliska,Boredom,Airline travel is hours of boredom interrupted by moments of stark terror.
Billy Graham,Boredom,"America is said to have the highest per capita boredom of any spot on earth! We know that because we have the greatest number of artificial amusements of any country. People have become so empty that they can't even entertain themselves. They have to pay other people to amuse them, to make them laugh, to try to make them feel warm and happy and comfortable for a few minutes, to try to lose that awful, frightening, hollow feeling-that terrible, dreaded feeling of being lost and alone."
Susan Ertz,Boredom,Boredom comes simply from ignorance and lack of imagination.
Bertrand Russell,Boredom,"Boredom is a vital problem for the moralist, since at least half the sins of mankind are caused by the fear of it."
Guy Debord,Boredom,Boredom is always counter-revolutionary. Always.
Susan Sontag,Boredom,"Boredom is just the reverse side of fascination: both depend on being outside rather than inside a situation, and one leads to the other."
Jean Baudrillard,Boredom,Boredom is like a pitiless zooming in on the epidermis of time. Every instant is dilated and magnified like the pores of the face.
Walter Benjamin,Boredom,Boredom is the dream bird that hatches the egg of experience. A rustling in the leaves drives him away.
Thomas Szasz,Boredom,"Boredom is the feeling that everything is a waste of time; serenity, that nothing is."
Virginia Woolf,Boredom,"Boredom is the legitimate kingdom of the philanthropic.,
"
Søren Kierkegaard,Boredom,Boredom is the root of all evil - the despairing refusal to be oneself.
Bertrand Russell,Boredom,"Boredom is therefore a vital problem for the moralist, since at least half the sins of mankind are caused by the fear of it."
Vikram Seth,Boredom,Boredom provides a stronger inclination to write than anything.
Leo Tolstoy,Boredom,Boredom: the desire for desires.
Isaac Asimov,Boredom,"I don't believe in an afterlife, so I don't have to spend my whole life fearing hell, or fearing heaven even more. For whatever the tortures of hell, I think the boredom of heaven would be even worse."
Thomas Carlyle,Boredom,"I've got a great ambition to die of exhaustion rather than boredom.,
"
Benjamin Bratt,Boredom,"I've made a career over the last seventeen years of mostly playing men in uniform, especially cops. The one thing for an actor that is death, is if you're bored. The boredom will show in your work."
Richard Bach,Boredom,In order to live free and happily you must sacrifice boredom. It is not always an easy sacrifice.
John Berger,Boredom,Is boredom anything less than the sense of one's faculties slowly dying?
Quentin Crisp,Boredom,"It is not the simple statement of facts that ushers in freedom; it is the constant repetition of them that has this liberating effect. Tolerance is the result not of enlightenment, but of boredom."
Wallace Stevens,Boredom,"It is the unknown that excites the ardor of scholars, who, in the known alone, would shrivel up with boredom."
Anish Kapoor,Boredom,"It's precisely in those moments when I don't know what to do, boredom drives one to try a host of possibilities to either get somewhere or not get anywhere."
Karl Kraus,Boredom,"Morality is a venereal disease. Its primary stage is called virtue; its secondary stage, boredom; its tertiary stage, syphilis."
Francis Picabia,Boredom,"Nature is unfair? So much the better, inequality is the only bearable thing, the monotony of equality can only lead us to boredom."
Muriel Spark,Boredom,One should only see a psychiatrist out of boredom.
Friedrich Nietzsche,Boredom,Only the most acute and active animals are capable of boredom. A theme for a great poet would be God's boredom on the seventh day of creation.
Arthur Schopenhauer,Boredom,People of Wealth and the so called upper class suffer the most from boredom.
Clark Kenneth,Boredom,"People sometimes tell me that they prefer barbarism to civilization. I doubt if they have given it a long enough trial. Like the people of Alexandria, they are bored by civilization; but all the evidence suggests that the boredom of barbarism is infinitely greater."
Sir Cecil Beaton,Boredom,Perhaps the world's second worst crime is boredom. The first is being a bore.
Voltaire,Boredom,"Rest is a good thing, but boredom is its brother."
Søren Kierkegaard,Boredom,"Since boredom advances and boredom is the root of all evil, no wonder, then, that the world goes backwards, that evil spreads. This can be traced back to the very beginning of the world. The gods were bored; therefore they created human beings."
Betty Friedan,Boredom,"Strange new problems are being reported in the growing generations of children whose mothers were always there, driving them around, helping them with their homework - an inability to endure pain or discipline or pursue any self-sustained goal of any sort, a devastating boredom with life."
Cyril Parkinson,Boredom,The chief product of an automated society is a widespread and deepening sense of boredom.
Wayne Dyer,Boredom,The concept of boredom entails an inability to use up present moments in a personally fulfilling way.
Ellen Parr,Boredom,The cure for boredom is curiosity. There is no cure for curiosity.
Malcolm Muggeridge,Boredom,"The most terrible thing about materialism, even more terrible than its proneness to violence, is its boredom, from which sex, alcohol, drugs, all devices for putting out the accusing light of reason and suppressing the unrealizable aspirations of love, offer a prospect of deliverance."
Benjamin Bratt,Boredom,"The one thing for an actor that is complete death is if you're bored, because that boredom will show in your work."
Arthur Schopenhauer,Boredom,The two enemies of human happiness are pain and boredom.
Norman Mailer,Boredom,The war between being and nothingness is the underlying illness of the twentieth century. Boredom slays more of existence than war.
Edmond and Jules de Goncourt,Boredom,"There are moments when, faced with our lack of success, I wonder whether we are failures, proud but impotent. One thing reassures me as to our value: the boredom that afflicts us. It is the hall-mark of quality in modern men."
Heraclitus,Boredom,To do the same thing over and over again is not only boredom: it is to be controlled by rather than to control what you do.
Henry Miller,Boredom,"Topographically the country is magnificent - and terrifying. Why terrifying? Because nowhere else in the world is the divorce between man and nature so complete. Nowhere have I encountered such a dull, monotonous fabric of life as here in America. Here boredom reaches its peak."
R. I. Fitzhenry,Boredom,"Uncertainty and mystery are energies of life. Don't let them scare you unduly, for they keep boredom at bay and spark creativity."
Bertrand Russell,Boredom,"Unless one is taught what to do with success after getting it, achievement of it must inevitably leave him prey to boredom."
Anatole France,Boredom,Without lies humanity would perish of despair and boredom.
Voltaire,Boredom,"Work banishes those three great evils: boredom, vice and poverty."
Earl Nightingale,Boredom,You'll find boredom where there is an absence of a good idea.
Aldous Huxley,Boredom,"Your true traveler finds boredom rather agreeable than painful. It is the symbol of his liberty - his excessive freedom. He accepts his boredom, when it comes, not merely philosophically, but almost with pleasure."
author,tags,title
Francis Maitland Balfour,Charity,"The best thing to give to your enemy is forgiveness; to an opponent, tolerance; to a friend, your heart; to your child, a good example; to a father, deference; to your mother, conduct that will make her proud of you; to yourself, respect; to all men, charity."
Franklin D. Roosevelt,Charity,"Peace, like charity, begins at home."
Bono,Charity,"20 years on I'm not that interested in charity. I'm interested in justice. There's a difference. Africa needs justice as much as it needs charity. , Equality for Africa is a big idea. It's a big expensive idea."
Jack London,Charity,"A bone to the dog is not charity. Charity is the bone shared with the dog, when you are just as hungry as the dog."
Linus Price Hayes,Charity,"A kiss: To a young girl, faith; to a married woman, hope; and to an old maid, charity."
V. P. Skipper,Charity,"A kiss: To a young girl, faith; to a married woman, hope; to an old maid, charity."
George Orwell,Charity,A man receiving charity always hates his benefactor- it is a fixed characteristic of human nature.
Henry Fielding,Charity,A rich man without charity is a rogue; and perhaps it would be no difficult matter to prove that he is also a fool.
Edgar Allan Poe,Charity,A strong argument for the religion of Christ is this - that offences against Charity are about the only ones which men on their death-beds can be made - not to understand - but to feel - as crime.
Brad Garrett,Charity,"Actually, I have my own charity that I started that helps supplement families with terminal children."
John Stuart Mill,Charity,"As for charity, it is a matter in which the immediate effect on the persons directly concerned, and the ultimate consequence to the general good, are apt to be at complete war with one another."
Walt Whitman,Charity,"Behold I do not give lectures or a little charity, When I give I give myself."
Clare Boothe Luce,Charity,"Censorship, like charity, should begin at home, but unlike charity, it should end there."
John Fletcher,Charity,Charity and beating begins at home.
Charles Dickens,Charity,"Charity begins at home, and justice begins next door.,
"
Thomas Fuller,Charity,"Charity begins at home, but should not end there."
Terence,Charity,Charity begins at home.
Thomas Browne,Charity,"Charity But how shall we expect charity towards others, when we are uncharitable to ourselves? Charity begins at home, is the voice of the world; yet is every man his greatest enemy, and, as it were, his own executioner."
Oscar Wilde,Charity,Charity creates a multitude of sins.
John D. Rockefeller,Charity,"Charity is injurious unless it helps the recipient to become independent of it.,
,
"
St. Augustine of Hippo,Charity,Charity is no substitute for justice withheld.
St. John Chrysosatom,Charity,Charity is the scope of all God's commands.
Antoine de Saint-Exupéry,Charity,"Charity never humiliated him who profited from it, nor ever bound him by the chains of gratitude, since it was not to him but to God that the gift was made."
Ban Ki-moon,Charity,Charity plays an important role in upholding the values and advancing the work of the United Nations.
Phillips Brooks,Charity,"Charity should begin at home, but should not stay there."
Elbert Hubbard,Charity,"Charity: a thing that begins at home, and usually stays there."
